"Date","Price","Open","High","Low","Vol.","Change %"
"05/04/2014","180.80","197.40","203.10","183.65","0.12K","-9.87%"
"04/27/2014","200.60","203.35","208.90","192.40","0.16K","-2.03%"
"04/20/2014","204.75","202.00","215.70","196.15","4.52K","1.76%"
"04/13/2014","201.20","199.80","207.40","185.60","50.99K","0.00%"
"04/06/2014","201.20","185.80","208.65","185.55","126.62K","8.76%"
"03/30/2014","185.00","180.60","185.40","167.90","80.84K","2.44%"
"03/23/2014","180.60","171.15","181.05","166.00","70.79K","5.52%"
"03/16/2014","171.15","195.35","195.50","168.50","40.52K","-13.50%"
"03/09/2014","197.85","201.50","207.55","200.50","0.27K","0.92%"
"03/02/2014","196.05","180.55","200.90","177.10","0.18K","9.04%"
"02/23/2014","179.80","169.45","180.35","169.45","0.97K","6.67%"
"02/16/2014","168.55","140.05","175.70","138.75","30.18K","20.48%"
"02/09/2014","139.90","133.95","142.75","132.90","143.74K","3.10%"
"02/02/2014","135.70","125.00","144.15","125.00","192.41K","8.39%"
"01/26/2014","125.20","114.20","125.95","113.15","103.96K","9.44%"
"01/19/2014","114.40","117.15","118.55","113.65","53.42K","-2.35%"
"01/12/2014","117.15","120.35","121.05","115.95","60.82K","-2.90%"
"01/05/2014","120.65","116.50","122.60","115.70","99.47K","3.70%"
"12/29/2013","116.35","116.35","117.45","110.20","43.86K","0.00%"
"12/22/2013","116.35","115.00","118.40","114.05","19.70K","0.91%"
"12/15/2013","115.30","115.35","116.70","113.10","17.40K","0.70%"
"12/08/2013","114.50","106.30","114.00","106.05","0.08K","8.22%"
"12/01/2013","105.80","109.80","110.50","105.50","0.11K","-4.04%"
"11/24/2013","110.25","107.70","109.80","106.05","0.24K","2.94%"
"11/17/2013","107.10","105.85","111.85","104.30","29.46K","1.28%"
"11/10/2013","105.75","104.10","106.95","102.15","123.95K","1.63%"
"11/03/2013","104.05","105.60","106.20","100.95","100.66K","-1.42%"
"10/27/2013","105.55","109.00","109.20","104.25","69.57K","-3.25%"
"10/20/2013","109.10","114.40","114.70","108.80","66.84K","-4.84%"
"10/13/2013","114.65","116.70","117.65","114.05","45.93K","-1.76%"
"10/06/2013","116.70","114.40","117.95","113.50","54.22K","2.01%"
"09/29/2013","114.40","113.65","116.20","113.20","45.45K","0.62%"
"09/22/2013","113.70","114.65","119.20","113.50","56.76K","-0.83%"
"09/15/2013","114.65","114.75","116.70","111.10","18.64K","-0.78%"
"09/08/2013","115.55","114.00","116.10","114.00","0.05K","1.40%"
"09/01/2013","113.95","113.00","114.50","111.55","0.03K","1.65%"
"08/25/2013","112.10","114.10","115.20","112.00","0.30K","-0.84%"
"08/18/2013","113.05","120.45","120.90","112.80","34.60K","-6.18%"
"08/11/2013","120.50","122.90","124.60","119.35","88.49K","-1.95%"
"08/04/2013","122.90","118.00","124.30","117.10","103.42K","3.93%"
"07/28/2013","118.25","122.25","123.35","115.35","80.80K","-3.27%"
"07/21/2013","122.25","123.15","126.50","120.85","77.70K","-0.29%"
"07/14/2013","122.60","120.25","132.15","120.15","0.03K","2.90%"
"07/07/2013","119.15","120.50","124.00","119.35","0.10K","-1.49%"
"06/30/2013","120.95","120.60","124.35","119.80","0.09K","0.79%"
"06/23/2013","120.00","118.85","122.35","117.95","0.56K","1.10%"
"06/16/2013","118.70","122.25","124.60","116.90","34.41K","-2.90%"
"06/09/2013","122.25","126.50","129.00","121.10","128.39K","-3.70%"
"06/02/2013","126.95","127.05","129.90","125.50","98.12K","-0.08%"
"05/26/2013","127.05","127.55","128.55","125.05","70.30K","-0.16%"
"05/19/2013","127.25","132.60","135.85","126.80","80.32K","-6.16%"
"05/12/2013","135.60","142.95","144.75","135.45","0.04K","-5.70%"
"05/05/2013","143.80","141.30","147.65","141.00","0.18K","2.49%"
"04/28/2013","140.30","133.65","140.25","132.75","0.37K","4.78%"
"04/21/2013","133.90","141.65","143.50","133.30","2.03K","-5.47%"
"04/14/2013","141.65","134.95","142.45","131.75","58.62K","4.73%"
"04/07/2013","135.25","139.80","140.90","134.70","139.92K","-3.50%"
"03/31/2013","140.15","137.15","141.35","135.50","107.30K","2.19%"
"03/24/2013","137.15","135.95","138.80","134.65","52.86K","1.37%"
"03/17/2013","135.30","133.70","136.30","132.05","55.22K","-0.88%"
"03/10/2013","136.50","143.30","143.90","137.40","0.04K","-4.78%"
"03/03/2013","143.35","146.00","146.90","139.95","0.06K","0.31%"
"02/24/2013","142.90","143.60","144.05","140.60","0.56K","-0.14%"
"02/17/2013","143.10","137.20","143.95","135.90","23.13K","4.49%"
"02/10/2013","136.95","141.75","142.15","136.45","98.20K","-2.91%"
"02/03/2013","141.05","147.50","148.05","139.40","114.07K","-4.66%"
"01/27/2013","147.95","148.10","150.80","146.55","77.42K","-0.24%"
"01/20/2013","148.30","154.80","156.45","146.10","71.49K","-5.12%"
"01/13/2013","156.30","152.95","157.90","150.80","89.20K","1.92%"
"01/06/2013","153.35","147.35","153.50","145.65","91.11K","4.07%"
"12/30/2012","147.35","146.10","151.95","141.25","59.59K","0.34%"
"12/23/2012","146.85","146.60","149.25","145.10","20.72K","0.17%"
"12/16/2012","146.60","137.95","146.85","137.95","29.50K","6.70%"
"12/09/2012","137.40","142.00","142.00","136.60","0.03K","-3.31%"
"12/02/2012","142.10","140.10","142.25","138.90","0.05K","0.00%"
"11/25/2012","142.10","142.45","148.15","132.25","0.38K","-0.04%"
"11/18/2012","142.15","147.55","151.80","142.00","24.66K","-3.50%"
"11/11/2012","147.30","151.15","154.40","144.50","69.97K","-1.73%"
"11/04/2012","149.90","154.70","154.70","149.60","86.95K","-3.10%"
"10/28/2012","154.70","157.75","162.75","152.80","67.07K","-1.93%"
"10/21/2012","157.75","162.50","165.70","156.90","50.69K","-2.41%"
"10/14/2012","161.65","161.70","163.45","157.15","55.01K","-0.03%"
"10/07/2012","161.70","167.80","170.00","159.70","71.76K","-3.81%"
"09/30/2012","168.10","172.85","185.45","167.70","88.98K","-3.11%"
"09/23/2012","173.50","171.80","175.20","167.65","50.12K","0.12%"
"09/16/2012","173.30","181.10","182.55","168.30","39.90K","-4.15%"
"09/09/2012","180.80","173.50","182.65","173.50","0.04K","11.12%"
"09/02/2012","162.70","164.45","165.00","157.10","0.05K","-1.12%"
"08/26/2012","164.55","165.00","168.60","162.50","0.31K","1.20%"
"08/19/2012","162.60","160.65","163.50","157.60","21.52K","1.43%"
"08/12/2012","160.30","166.20","167.25","157.40","40.84K","-3.58%"
"08/05/2012","166.25","173.10","177.85","164.20","79.58K","-4.34%"
"07/29/2012","173.80","174.35","178.90","170.60","62.72K","0.06%"
